game_week,week_day,date,team,opponent,team_xg,opponent_xg,season,game_id,time,team_goals,opponent_goals,fpl_game_week,team_elo,opponent_elo,team_goals_scored_xg_3game_form,team_goals_conceded_xg_3game_form,opponent_goals_scored_xg_3game_form,opponent_goals_conceded_xg_3game_form,team_goals_scored_actual_3game_form,team_goals_conceded_actual_3game_form,opponent_goals_scored_actual_3game_form,opponent_goals_conceded_actual_3game_form,team_goals_scored_xg_5game_form,team_goals_conceded_xg_5game_form,opponent_goals_scored_xg_5game_form,opponent_goals_conceded_xg_5game_form,team_goals_scored_actual_5game_form,team_goals_conceded_actual_5game_form,opponent_goals_scored_actual_5game_form,opponent_goals_conceded_actual_5game_form,team_goals_scored_xg_10game_form,team_goals_conceded_xg_10game_form,opponent_goals_scored_xg_10game_form,opponent_goals_conceded_xg_10game_form,team_goals_scored_actual_10game_form,team_goals_conceded_actual_10game_form,opponent_goals_scored_actual_10game_form,opponent_goals_conceded_actual_10game_form,elodiff,home
7,Sun,01/10/2017,Burnley,Everton,0.4,1.1,2017-2018,69,14:15,1,0,7,1665.16687,1742.501465,0.266666667,1.5,1.333333333,1.666666667,0.666666667,0.333333333,0.666666667,2.666666667,0.6,1.54,1,1.42,0.6,0.6,0.6,2.2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-77.334595,0
7,Sun,01/10/2017,Arsenal,Brighton,2.4,0.4,2017-2018,70,12:00,2,0,7,1863.259277,1608.485596,1.933333333,0.766666667,0.766666667,1.233333333,1.666666667,0,1.666666667,1,1.58,1.22,0.72,1.2,1,1,1,1,1,1.48,1.48,1,0.9,1.7,1.7,0.9,254.773681,1
7,Sun,01/10/2017,Brighton,Arsenal,0.4,2.4,2017-2018,70,12:00,0,2,7,1608.485596,1863.259277,0.766666667,1.233333333,1.933333333,0.766666667,1.666666667,1,1.666666667,0,0.72,1.2,1.58,1.22,1,1,1,1,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-254.773681,0
8,Sat,14/10/2017,Manchester Utd,Liverpool,0.2,1.5,2017-2018,71,12:30,0,0,8,1919.186768,1852.939331,2.3,0.833333333,1.733333333,1.1,3,0,1.666666667,1.333333333,2.36,0.92,1.8,1.26,2.6,0.4,1.8,1.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,66.247437,0
8,Sat,14/10/2017,Liverpool,Manchester Utd,1.5,0.2,2017-2018,71,12:30,0,0,8,1852.939331,1919.186768,1.733333333,1.1,2.3,0.833333333,1.666666667,1.333333333,3,0,1.8,1.26,2.36,0.92,1.8,1.8,2.6,0.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-66.247437,1
8,Sat,14/10/2017,Bournemouth,Tottenham,0.2,1.8,2017-2018,72,15:00,0,1,8,1642.288574,1918.12854,0.966666667,1.166666667,1.266666667,0.333333333,1,1,2.333333333,0.666666667,0.8,1.42,1.58,0.56,0.8,1.6,2.2,0.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-275.839966,0
8,Sat,14/10/2017,Tottenham,Bournemouth,1.8,0.2,2017-2018,72,15:00,1,0,8,1918.12854,1642.288574,1.266666667,0.333333333,0.966666667,1.166666667,2.333333333,0.666666667,1,1,1.58,0.56,0.8,1.42,2.2,0.6,0.8,1.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,275.839966,1
8,Sat,14/10/2017,West Ham,Burnley,0.9,1.2,2017-2018,73,15:00,1,1,8,1673.868408,1676.959595,0.533333333,0.7,0.3,1.2,1,1,0.666666667,0.333333333,0.78,0.96,0.42,1.58,1,1.2,0.8,0.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-3.091187,0
8,Sat,14/10/2017,Burnley,West Ham,1.2,0.9,2017-2018,73,15:00,1,1,8,1676.959595,1673.868408,0.3,1.2,0.533333333,0.7,0.666666667,0.333333333,1,1,0.42,1.58,0.78,0.96,0.8,0.4,1,1.2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,3.091187,1
8,Sat,14/10/2017,Chelsea,Crystal Palace,0.8,1.7,2017-2018,74,15:00,1,2,8,1936.745117,1601.380859,0.9,1.033333333,1,2.766666667,1.333333333,0.333333333,0,3.333333333,0.9,0.98,1.18,1.86,1.6,0.4,0,2.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,335.364258,0
8,Sat,14/10/2017,Crystal Palace,Chelsea,1.7,0.8,2017-2018,74,15:00,2,1,8,1601.380859,1936.745117,1,2.766666667,0.9,1.033333333,0,3.333333333,1.333333333,0.333333333,1.18,1.86,0.9,0.98,0,2.6,1.6,0.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-335.364258,1
8,Sat,14/10/2017,Swansea City,Huddersfield,1.5,0.7,2017-2018,75,15:00,2,0,8,1652.409424,1529.393433,0.7,1,0.4,1.033333333,0.333333333,1,0.333333333,1.666666667,0.8,0.98,0.6,1.1,0.6,0.8,0.2,1.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,123.015991,1
